;Format of textures:
;TextureName	Width	Height
COMPSTA2    		128	128
*	AG128_2     	0	70
*	AG128_2     	64	70
*	TOMW2_2     	0	0
COMPTALL    		256	128
*	COMP03_5    	192	0
*	COMP03_8    	0	0
*	COMP03_8    	160	0
*	COMP04_1    	192	64
*	COMP04_2    	128	64
*	COMP04_5    	32	0
*	COMP04_6    	0	64
*	COMP04_7    	64	64
*	COMP04_8    	96	0
COMPTILE    		128	128
*	COMP03_1    	32	0
*	COMP03_6    	96	0
*	COMP03_6    	96	64
*	COMP03_7    	0	0
*	COMP03_7    	0	64
*	COMP03_1    	32	64
COMPUTE1    		128	128
*	W33_8       	64	56
*	W33_8       	0	56
*	W33_8       	0	120
*	W33_8       	64	120
*	COMP01_5    	28	0
*	COMP01_6    	72	0
*	COMP1B_4    	0	0
*	COMP01_5    	28	64
*	COMP01_1    	0	64
*	COMP1C_6    	72	64
COMPUTE2    		256	56
*	COMP02_2    	64	0
*	COMP02_3    	128	0
*	COMP02_1    	0	0
*	COMP02_7    	192	0
COMPUTE3    		128	128
*	SW11_4      	0	4
*	SW11_5      	32	4
*	SW11_4      	64	4
*	SW11_5      	96	4
*	COMP02_1    	0	0
*	COMP02_2    	64	0
*	STEP08      	0	56
*	STEP08      	32	56
*	STEP08      	64	56
*	STEP08      	96	56
DOOR1       		64	72
*	WALL03_1    	0	0
DOOR3       		64	72
*	DOOR2_5     	0	0
DOORBLU     		8	128
*	W46_37      	0	0
*	W46_37      	0	16
*	W46_37      	0	32
*	W46_37      	0	64
*	W46_37      	0	48
*	W46_37      	0	80
*	W46_37      	0	96
*	W46_37      	0	112
DOORRED     		8	128
*	W46_38      	0	0
*	W46_38      	0	16
*	W46_38      	0	32
*	W46_38      	0	48
*	W46_38      	0	64
*	W46_38      	0	80
*	W46_38      	0	96
*	W46_38      	0	112
DOORSTOP    		8	128
*	TTALL1_2    	0	0
DOORTRAK    		8	128
*	DOORTRAK    	0	0
DOORYEL     		8	128
*	W46_39      	0	112
*	W46_39      	0	96
*	W46_39      	0	80
*	W46_39      	0	64
*	W46_39      	0	48
*	W46_39      	0	32
*	W46_39      	0	16
*	W46_39      	0	0
EXITDOOR    		128	72
*	DOOR3_6     	0	0
*	DOOR3_4     	64	0
*	DOOR3_5     	88	0
*	T14_5       	112	0
EXITSIGN    		64	16
*	EXIT1       	0	0
*	EXIT2       	32	0
*	EXIT2       	40	0
*	EXIT2       	48	0
*	EXIT2       	56	0
GRAY4       		64	128
*	W33_5       	0	0
*	W33_5       	0	64
GRAY5       		64	128
*	W33_7       	0	0
*	W33_7       	0	72
*	W33_8       	0	64
GRAY7       		256	128
*	W33_8       	0	120
*	W33_8       	64	120
*	W33_8       	128	120
*	W33_8       	192	120
*	W32_1       	64	0
*	W32_4       	0	0
*	W32_4       	128	0
*	W32_4       	192	0
*	W32_4       	0	56
*	W32_4       	64	56
*	W32_4       	192	56
*	W32_1       	128	56
GRAYTALL    		128	128
*	WALL00_1    	0	0
*	WALL00_1    	64	0
*	WALL00_3    	80	0
LITE2       		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	FLAMP       	5	0
*	FLAMP       	35	0
LITE3       		32	128
*	WLITA0      	0	0
*	WLITA0      	0	8
*	WLITA0      	0	16
*	WLITA0      	0	24
*	WLITA0      	0	32
*	WLITA0      	0	40
*	WLITA0      	0	48
*	WLITA0      	0	56
*	WLITA0      	0	64
*	WLITA0      	0	72
*	WLITA0      	0	80
*	WLITA0      	0	88
*	WLITA0      	0	96
*	WLITA0      	0	104
*	WLITA0      	0	112
*	WLITA0      	0	120
*	WLITB0      	8	120
*	WLITB0      	8	112
*	WLITB0      	8	104
*	WLITB0      	8	96
*	WLITB0      	8	88
*	WLITB0      	8	80
*	WLITB0      	8	72
*	WLITB0      	8	64
*	WLITB0      	8	56
*	WLITB0      	8	40
*	WLITB0      	8	48
*	WLITB0      	8	32
*	WLITB0      	8	24
*	WLITB0      	8	16
*	WLITB0      	8	8
*	WLITB0      	8	0
*	WLITB0      	16	0
*	WLITB0      	16	8
*	WLITB0      	16	16
*	WLITB0      	16	24
*	WLITB0      	16	32
*	WLITB0      	16	40
*	WLITB0      	16	48
*	WLITB0      	16	56
*	WLITB0      	16	64
*	WLITB0      	16	72
*	WLITB0      	16	80
*	WLITB0      	16	88
*	WLITB0      	16	96
*	WLITB0      	16	104
*	WLITB0      	16	112
*	WLITB0      	16	120
*	WLITC0      	24	0
*	WLITC0      	24	8
*	WLITC0      	24	16
*	WLITC0      	24	24
*	WLITC0      	24	32
*	WLITC0      	24	40
*	WLITC0      	24	48
*	WLITC0      	24	56
*	WLITC0      	24	64
*	WLITC0      	24	72
*	WLITC0      	24	80
*	WLITC0      	24	88
*	WLITC0      	24	96
*	WLITC0      	24	104
*	WLITC0      	24	112
*	WLITC0      	24	120
LITE4       		16	128
*	WLITA0      	0	0
*	WLITA0      	0	8
*	WLITA0      	0	16
*	WLITA0      	0	24
*	WLITA0      	0	32
*	WLITA0      	0	40
*	WLITA0      	0	48
*	WLITC0      	8	48
*	WLITC0      	8	32
*	WLITC0      	8	24
*	WLITC0      	8	40
*	WLITC0      	8	16
*	WLITC0      	8	8
*	WLITC0      	8	0
*	T14_5       	0	56
LITE5       		16	128
*	WLITA0      	0	0
*	WLITA0      	0	8
*	WLITA0      	0	16
*	WLITA0      	0	24
*	WLITA0      	0	32
*	WLITA0      	0	40
*	WLITA0      	0	48
*	WLITA0      	0	56
*	WLITA0      	0	64
*	WLITA0      	0	72
*	WLITA0      	0	80
*	WLITA0      	0	88
*	WLITA0      	0	96
*	WLITA0      	0	104
*	WLITA0      	0	112
*	WLITA0      	0	120
*	WLITC0      	8	120
*	WLITC0      	8	112
*	WLITC0      	8	104
*	WLITC0      	8	96
*	WLITC0      	8	88
*	WLITC0      	8	80
*	WLITC0      	8	72
*	WLITC0      	8	64
*	WLITC0      	8	56
*	WLITC0      	8	48
*	WLITC0      	8	40
*	WLITC0      	8	32
*	WLITC0      	8	16
*	WLITC0      	8	24
*	WLITC0      	8	8
*	WLITC0      	8	0
LITEBLU1    		8	128
*	AGB128_1    	0	0
LITEBLU2    		16	72
*	W13_A       	0	0
LITEBLU3    		16	128
*	W13_8       	0	0
*	W13_8       	0	56
LITEBLU4    		16	128
*	BLITA0      	0	0
*	BLITA0      	0	8
*	BLITA0      	0	16
*	BLITA0      	0	24
*	BLITA0      	0	32
*	BLITA0      	0	40
*	BLITA0      	0	48
*	BLITA0      	0	56
*	BLITA0      	0	64
*	BLITA0      	0	72
*	BLITA0      	0	80
*	BLITA0      	0	88
*	BLITA0      	0	96
*	BLITA0      	0	104
*	BLITA0      	0	112
*	BLITA0      	0	120
*	BLITC0      	8	120
*	BLITC0      	8	112
*	BLITC0      	8	104
*	BLITC0      	8	96
*	BLITC0      	8	88
*	BLITC0      	8	80
*	BLITC0      	8	72
*	BLITC0      	8	64
*	BLITC0      	8	56
*	BLITC0      	8	48
*	BLITC0      	8	40
*	BLITC0      	8	32
*	BLITC0      	8	24
*	BLITC0      	8	16
*	BLITC0      	8	8
*	BLITC0      	8	0
METAL1      		64	128
*	WALL03_7    	0	0
*	WALL03_7    	0	64
NUKE24      		64	24
*	NUKEDGE     	0	0
NUKEDGE1    		128	128
*	WALL04_7    	96	0
*	WALL04_5    	112	0
*	WALL04_5    	112	32
*	WALL04_5    	96	32
*	NUKEDGE     	64	104
*	WALL04_2    	64	0
*	WALL04_2    	48	0
*	WALL04_2    	48	32
*	WALL04_2    	64	32
*	NUKEDGE     	0	104
*	WALL04_4    	16	32
*	WALL04_5    	32	0
*	WALL04_5    	32	32
*	WALL04_3    	80	32
*	WALL04_3    	80	0
*	WALL04_3    	0	32
*	WALL04_3    	0	0
*	WALL04_4    	16	0
NUKESLAD    		64	128
*	WALL57_1    	0	0
PIPE2       		256	128
*	TP2_1       	0	0
*	TP2_2       	128	0
PLANET1     		256	128
*	AG128_1     	192	0
*	AG128_1     	128	0
*	AG128_1     	64	0
*	AG128_1     	0	0
*	TSCRN2      	4	69
*	TSCRN3      	68	69
*	TSCRN4      	132	69
*	TSCRN5      	68	6
*	TSCRN6      	4	6
*	TSCRN8      	132	6
PLAT1       		128	128
*	PLAT2_1     	0	0
REDWALL1    		128	128
*	W15_5       	64	56
*	W15_4       	0	56
*	W15_4       	0	0
*	W15_5       	64	0
SHAWN2      		64	128
*	AG128_1     	0	0
SKY1        		256	128
*	SKY1        	0	0
SLADPOIS    		64	128
*	WLA128_1    	0	0
*	PS20A0      	1	49
SLADRIP1    		64	128
*	WALL57_2    	0	0
SLADRIP2    		64	128
*	WALL57_3    	0	0
SLADRIP3    		64	128
*	WALL57_4    	0	0
SLADWALL    		64	128
*	WLA128_1    	0	0
STARG1      		64	128
*	SW12_1      	0	0
*	SW12_2      	32	0
STARG3      		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
STARGR1     		64	128
*	SW11_1      	0	0
*	SW11_2      	32	0
STARTAN1    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
STARTAN2    		128	128
*	SW17_6      	64	0
*	SW17_5      	32	0
*	SW18_7      	96	0
*	SW17_4      	0	0
STARTAN3    		128	128
*	SW19_2      	0	0
*	SW19_1      	64	0
STEP1       		32	8
*	STEP04      	0	0
STEP2       		32	8
*	STEP03      	0	0
STEP3       		32	8
*	STEP05      	0	0
STEP4       		32	16
*	STEP06      	0	8
*	STEP06      	0	0
STEP5       		32	16
*	STEP09      	0	0
*	STEP09      	0	8
STEP6       		32	16
*	STEP07      	0	0
*	STEP10      	0	8
STONE       		256	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_5    	64	0
*	WALL01_6    	80	0
*	WALL01_7    	96	0
*	WALL01_8    	112	0
*	WALL01_9    	128	0
*	WALL01_A    	144	0
*	WALL01_B    	160	0
*	WALL01_C    	176	0
*	WALL01_3    	192	0
*	WALL01_1    	208	0
*	WALL01_6    	224	0
*	WALL01_A    	240	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	WALL01_5    	64	72
*	WALL01_6    	80	72
*	WALL01_7    	96	72
*	WALL01_8    	112	72
*	WALL01_9    	128	72
*	WALL01_A    	144	72
*	WALL01_B    	160	72
*	WALL01_C    	176	72
*	WALL01_3    	192	72
*	WALL01_1    	208	72
*	WALL01_6    	224	72
*	WALL01_A    	240	72
*	W33_8       	0	64
*	W33_8       	0	120
*	W33_8       	64	64
*	W33_8       	64	120
*	W33_8       	128	64
*	W33_8       	128	120
*	W33_8       	192	64
*	W33_8       	192	120
STONE2      		128	128
*	W28_5       	0	0
*	W28_5       	64	64
*	W28_8       	0	64
*	W28_8       	64	0
STONE3      		128	128
*	W28_6       	0	64
*	W28_6       	64	0
*	W28_7       	64	64
*	W28_7       	0	0
STONPOIS    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_4    	48	64
*	WALL01_3    	32	64
*	WALL01_2    	16	64
*	WALL01_1    	0	64
*	PS20A0      	1	42
*	W33_8       	0	120
SUPPORT2    		64	128
*	SUPPORT2    	0	0
*	SUPPORT2    	40	0
*	SUPPORT2    	20	0
*	SUPPORT2    	0	72
*	SUPPORT2    	20	72
*	SUPPORT2    	40	72
SW1BRCOM    		128	128
*	WALL62_1    	0	0
*	SW1S0       	48	72
SW1BRN1     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW3S0       	16	75
SW1BRN2     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW4S0       	20	79
SW1BRNGN    		64	128
*	WALL62_2    	0	0
*	SW4S0       	20	80
SW1BROWN    		128	128
*	WALL62_1    	0	0
*	SW3S0       	48	72
SW1COMM     		64	72
*	W13_1       	0	0
*	SW1S0       	15	18
SW1COMP     		64	128
*	COMP04_5    	0	0
*	COMP03_4    	32	64
*	COMP03_4    	0	64
*	SW2S0       	16	72
SW1DIRT     		64	128
*	WALL00_6    	16	0
*	WALL00_7    	32	0
*	WALL00_7    	48	0
*	WALL00_7    	0	0
*	SW1S0       	16	20
SW1EXIT     		32	72
*	W33_8       	0	64
*	WALL69_9    	-2	0
*	SW2S0       	0	16
SW1GRAY     		64	128
*	W31_1       	0	64
*	W31_1       	0	0
*	SW2S0       	16	70
SW1GRAY1    		64	128
*	W31_1       	0	64
*	W31_1       	0	0
*	SW4S0       	19	79
SW1METAL    		64	128
*	WALL03_7    	0	64
*	WALL03_7    	0	0
*	SW4S0       	20	68
SW1PIPE     		128	128
*	TP2_2       	0	0
*	SW3S0       	48	76
SW1SLAD     		64	128
*	WLA128_1    	0	0
*	WARNB0      	24	73
SW1STARG    		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
*	SW3S0       	48	76
SW1STON1    		64	128
*	W28_8       	0	64
*	W28_8       	0	0
*	SW1S0       	16	78
SW1STON2    		64	128
*	W28_5       	0	0
*	W28_8       	0	64
*	WARNB0      	24	73
SW1STONE    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	W33_8       	0	64
*	W33_8       	0	120
*	SW1S0       	16	72
SW1STRTN    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
*	SW1S0       	16	72
SW2BRCOM    		128	128
*	WALL62_1    	0	0
*	SW1S1       	48	72
SW2BRN1     		64	128
*	STEP07      	32	72
*	STEP07      	0	72
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW3S1       	16	75
SW2BRN2     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW4S1       	20	79
SW2BRNGN    		64	128
*	WALL62_2    	0	0
*	SW4S1       	20	80
SW2BROWN    		128	128
*	WALL62_1    	0	0
*	SW3S1       	48	72
SW2COMM     		64	72
*	W13_1       	0	0
*	SW1S1       	15	18
SW2COMP     		64	128
*	COMP04_5    	0	0
*	COMP03_4    	32	64
*	COMP03_4    	0	64
*	SW2S1       	16	72
SW2DIRT     		64	128
*	WALL00_6    	16	0
*	WALL00_7    	32	0
*	WALL00_7    	48	0
*	WALL00_7    	0	0
*	SW1S1       	16	20
SW2EXIT     		32	72
*	W33_8       	0	64
*	WALL69_9    	-2	0
*	SW2S1       	0	16
SW2GRAY     		64	128
*	W31_1       	0	64
*	W31_1       	0	0
*	SW2S1       	16	70
SW2GRAY1    		64	128
*	W31_1       	0	64
*	W31_1       	0	0
*	SW4S1       	19	79
SW2METAL    		64	128
*	WALL03_7    	0	64
*	WALL03_7    	0	0
*	SW4S1       	20	68
SW2PIPE     		128	128
*	TP2_2       	0	0
*	SW3S1       	48	76
SW2SLAD     		64	128
*	WLA128_1    	0	0
*	WARNA0      	24	73
SW2STARG    		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
*	SW3S1       	48	76
SW2STON1    		64	128
*	W28_8       	0	64
*	W28_8       	0	0
*	SW1S1       	16	78
SW2STON2    		64	128
*	W28_8       	0	64
*	WARNA0      	24	73
*	W28_5       	0	0
SW2STONE    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	W33_8       	0	64
*	W33_8       	0	120
*	SW1S1       	16	72
SW2STRTN    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
*	SW1S1       	16	72
TEKWALL1    		128	128
*	W17_1       	0	-27
*	W17_1       	0	16
TEKWALL2    		128	128
*	WALL24_1    	0	0
TEKWALL3    		128	112
*	W17_1       	-104	0
TEKWALL4    		128	128
*	W94_1       	0	0
TEKWALL5    		128	128
*	WALL24_1    	-120	-8
AASHITTY    		64	64
*	BODIES      	0	0
BFALL       		64	128
*	BFALL1      	0	0
BFALL1      		64	128
*	BFALL1      	0	0
BFALL2      		64	128
*	BFALL2      	0	0
BFALL3      		64	128
*	BFALL3      	0	0
BFALL4      		64	128
*	BFALL4      	0	0
WOODMET1    		64	128
*	RW26_1      	0	0
WOODMET2    		64	128
*	RW26_2      	0	0
WOODMET3    		64	128
*	RW26_3      	0	0
WOODMET4    		64	128
*	RW26_4      	0	0
AROCK2      		128	128
*	AROCK2      	0	0
AROCK3      		128	128
*	AROCK3      	0	0
AROCK4      		128	128
*	AROCK4      	0	0
AROCK5      		128	128
*	AROCK5      	0	0
SP_DUDE7    		128	128
*	BODY_1      	0	0
SP_DUDE8    		128	128
*	BODY_2      	0	0
SP_FACE2    		64	128
*	BODIES      	0	0
WFALL       		64	128
*	WFALL1      	0	0
WFALL1      		64	128
*	WFALL1      	0	0
WFALL2      		64	128
*	WFALL2      	0	0
WFALL3      		64	128
*	WFALL3      	0	0
WFALL4      		64	128
*	WFALL4      	0	0
ASHWALL2    		64	128
*	RW22_1      	0	0
CRATE3      		64	128
*	GCRATEL1    	0	0
*	GCRATER1    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
EXITSGN2    		64	16
*	EXIT_RED    	0	0
*	EXIT_GRN    	32	0
METAL2      		64	128
*	RW33_1      	0	0
SFALL       		64	128
*	SFALL1      	0	0
SFALL1      		64	128
*	SFALL1      	0	0
SFALL2      		64	128
*	SFALL2      	0	0
SFALL3      		64	128
*	SFALL3      	0	0
SFALL4      		64	128
*	SFALL4      	0	0
WOODVERT    		64	128
*	RW23_1      	0	0
BRONZE2     		64	128
*	RW10_2      	0	0
PIPES       		64	128
*	RW28_4      	0	0
BSTONE2     		64	128
*	RW1_2       	0	0
MARBGRAY    		64	128
*	RW7_2       	0	0
BRICK10     		64	128
*	RW41_1      	0	0
STONE4      		64	128
*	RW18_1      	0	0
METAL5      		64	128
*	RW33_4      	0	0
MIDBARS3    		64	72
*	RW45_1      	0	0
MC2         		128	128
*	MC2         	0	0
MC3         		128	128
*	MC3         	0	0
MC4         		128	128
*	MC4         	0	0
MC5         		128	128
*	MC5         	0	0
MC6         		128	128
*	MC6         	0	0
MC7         		128	128
*	MC7         	0	0
MC8         		128	128
*	MC8         	0	0
MC10        		128	128
*	MC10        	0	0
MC11        		128	128
*	MC11        	0	0
MC12        		128	128
*	MC12        	0	0
MC13        		128	128
*	MC13        	0	0
MC14        		128	128
*	MC14        	0	0
MC15        		128	128
*	MC15        	0	0
MC16        		128	128
*	MC16        	0	0
MC17        		128	128
*	MC17        	0	0
MC18        		128	128
*	MC18        	0	0
MC19        		128	128
*	MC19        	0	0
P-FRBLU1    		128	128
*	FIREBLU1    	0	0
P-FRBLU2    		128	128
*	FIREBLU2    	0	0
P-SKY1      		256	128
*	SKY1        	0	0
P-SKY2      		1024	128
*	SKY2A       	0	0
*	SKY2B       	256	0
*	SKY2C       	512	0
*	SKY2D       	768	0
P-SKY3      		512	128
*	SKY3A       	0	0
*	SKY3B       	256	0
SW1PSKUL    		64	64
*	SW1SKULL    	0	0
SW2PSKUL    		64	64
*	SW2SKULL    	0	0
T-BLODG1    		512	128
*	RW48_4      	0	0
*	RW48_4      	64	0
*	DOSW1C      	128	0
*	DOSW1       	200	0
*	DOSLVR11    	272	0
*	DOSLVR21    	344	0
*	DOBLIP1A    	416	0
*	CYAN        	488	0
T-BLODG4    		512	128
*	RW48_4      	0	0
*	RW48_4      	64	0
*	DOSW4C      	128	0
*	DOSW4       	200	0
*	DOSLVR14    	272	0
*	DOSLVR24    	344	0
*	DOBLIP4A    	416	0
*	CYAN        	488	0
SW1TSKUL    		512	128
*	RW48_4      	0	0
*	RW48_4      	64	0
*	DOSW2C      	128	0
*	DOSW2       	200	0
*	DOSLVR12    	272	0
*	DOSLVR22    	344	0
*	DOBLIP2A    	416	0
*	CYAN        	488	0
T-WFALL1    		512	128
*	RW48_2      	0	0
*	RW48_2      	64	0
*	DOSWX1C     	128	0
*	DOSWX1      	200	0
*	DOBIGTVA    	272	0
*	DOTV1B      	344	0
*	TYWFALL1    	416	0
*	CYAN        	488	0
SW2TSKUL    		512	128
*	RW48_2      	0	0
*	RW48_2      	64	0
*	DOSWX2C     	128	0
*	DOSWX2      	200	0
*	DOBIGTVB    	272	0
*	DOTV2B      	344	0
*	TYWFALL2    	416	0
*	CYAN        	488	0
FALL3       		512	128
*	RW48_2      	0	0
*	RW48_2      	64	0
*	DOSWX3C     	128	0
*	DOSWX3      	200	0
*	DOBIGTVC    	272	0
*	DOTV3B      	344	0
*	TYWFALL3    	416	0
*	CYAN        	488	0
T-WFALL4    		512	128
*	RW48_2      	0	0
*	RW48_2      	64	0
*	DOSWX4C     	128	0
*	DOSWX4      	200	0
*	DOBIGTVD    	272	0
*	DOTV4B      	344	0
*	TYWFALL4    	416	0
*	CYAN        	488	0
T-SKY1      		1024	128
*	DOEDAY      	0	0
*	DONDAY      	256	0
*	DOWDAY      	512	0
*	DOSDAY      	768	0
T-SKY2      		1024	128
*	DOENITE     	0	0
*	DONNITE     	256	0
*	DOWNITE     	512	0
*	DOSNITE     	768	0
T-SKY3      		1024	128
*	DOEHELL     	0	0
*	DONHELL     	256	0
*	DOWHELL     	512	0
*	DOSHELL     	768	0
T-SLDRP1    		512	128
*	DOSHA1      	0	0
*	DOSPI1B     	136	0
*	SMFILLER    	272	0
*	COMP03_4    	276	0
*	COMP03_4    	276	64
*	COMP03_4    	308	0
*	COMP03_4    	308	64
*	SMFILLER    	340	0
*	PREEL1      	283	21
*	PREEL2      	311	21
*	SAW1        	344	0
*	SAW1SD      	416	0
*	PBLAK       	448	0
*	PL_01       	462	2
PDUMMY      		64	128
*	PDUMMY      	0	0
PRED        		64	128
*	PRED        	0	0
PBLUE       		64	128
*	PBLUE       	0	0
PGREEN      		64	128
*	PGREEN      	0	0
PORAN       		64	128
*	PORAN       	0	0
PWHITE      		64	128
*	PWHITE      	0	0
DLEVSIGN    		128	128
*	AG128_2     	0	70
*	AG128_2     	64	70
*	DLEVSIGN    	0	0
AQCONC01    		64	128
*	AQCONC01    	0	0
*	AQCONC01    	0	64
AQCONC02    		128	128
*	AQCONC02    	0	0
AQCONC03    		128	128
*	AQCONC03    	0	0
AQCONC04    		128	128
*	AQCONC04    	0	0
AQCONC05    		64	128
*	AQCONC05    	0	0
AQCONC06    		64	128
*	AQCONC06    	0	0
*	AQCONC06    	0	64
AQCONC07    		64	128
*	AQCONC07    	0	0
*	AQCONC07    	0	64
AQCONC08    		64	128
*	AQCONC08    	0	0
*	AQCONC08    	0	64
AQCONC09    		64	128
*	AQCONC09    	0	0
*	AQCONC09    	0	64
AQCONC10    		64	128
*	AQCONC10    	0	0
*	AQCONC10    	0	64
AQCONC11    		64	128
*	AQCONC11    	0	0
*	AQCONC11    	0	64
AQCONC12    		64	128
*	AQCONC12    	0	0
*	AQCONC12    	0	64
AQCONC13    		128	128
*	AQCONC13    	0	0
AQCONC14    		128	128
*	AQCONC14    	0	0
AQCONC15    		128	128
*	AQCONC15    	0	0
AQCONC16    		128	128
*	AQCONC16    	0	0
AQCONC17    		64	128
*	AQCONC17    	0	0
*	AQCONC17    	0	64
AQCONC18    		64	128
*	AQCONC18    	0	0
*	AQCONC18    	0	64
AQDOOR01    		128	128
*	AQDOOR01    	0	0
AQDOOR02    		128	128
*	AQDOOR02    	0	0
AQLITE01    		64	128
*	AQLITE01    	0	0
*	AQLITE01    	0	64
AQLITE02    		64	128
*	AQLITE02    	0	0
*	AQLITE02    	0	64
AQLITE03    		64	128
*	AQLITE03    	0	0
*	AQLITE03    	0	64
AQLITE04    		64	128
*	AQLITE04    	0	0
*	AQLITE04    	0	64
AQLITE05    		64	128
*	AQLITE05    	0	0
*	AQLITE05    	0	64
AQLITE06    		64	128
*	AQLITE06    	0	0
*	AQLITE06    	0	64
AQLITE07    		64	128
*	AQLITE07    	0	0
*	AQLITE07    	0	64
AQLITE08    		64	128
*	AQLITE08    	0	0
*	AQLITE08    	0	64
AQLITE09    		64	128
*	AQLITE09    	0	0
*	AQLITE09    	0	64
AQLITE10    		64	128
*	AQLITE10    	0	0
*	AQLITE10    	0	64
AQLITE11    		64	128
*	AQLITE11    	0	0
*	AQLITE11    	0	64
AQLITE12    		64	128
*	AQLITE12    	0	0
*	AQLITE12    	0	64
AQLITE13    		64	128
*	AQLITE13    	0	0
*	AQLITE13    	0	64
AQLITE14    		64	128
*	AQLITE14    	0	0
*	AQLITE14    	0	64
AQLITE15    		64	128
*	AQLITE15    	0	0
*	AQLITE15    	0	64
AQLITE16    		64	128
*	AQLITE16    	0	0
*	AQLITE16    	0	64
AQLITE17    		64	128
*	AQLITE17    	0	0
*	AQLITE17    	0	64
AQLITE18    		64	128
*	AQLITE18    	0	0
